medidor,kwh_a,delta_kwh_a,kvah_a,delta_kvah_a,tensao_a,corrente_a,kwh_b,delta_kwh_b,kvah_b,delta_kvah_b,tensao_b,corrente_b,kwh_c,delta_kwh_c,kvah_c,delta_kvah_c,tensao_c,corrente_c,temperatura,conexao_wifi,conexao_ethernet,cartao_sd,rtc,data,criado_em
Med. 2 de consumo em rede trifasica (Need),23.222056,0.046931,24.480512,0.047415,215.45,5.28,14.927568,0.001767,16.948859,0.00312,219.39,0.34,9.505314,0.011492,180.111457,0.015777,218.91,1.69,,True,False,False,True,2020-04-22 19:17:29+00:00,2020-04-22 19:18:20.682763+00:00
Med. 2 de consumo em rede trifasica (Need),23.175125,0.047208,24.433097,0.047685,215.59,5.3,14.925801,0.001787,16.945739,0.003127,219.69,0.34,9.493822,0.015531,180.09568,0.021616,218.53,2.4,,True,False,False,True,2020-04-22 19:14:59+00:00,2020-04-22 19:15:50.341022+00:00
Med. 2 de consumo em rede trifasica (Need),23.127917,0.04792,24.385412,0.048401,215.26,5.31,14.924014,0.001834,16.942612,0.003172,219.08,0.34,9.478291,0.015684,180.074064,0.02179,218.17,2.39,,True,False,False,True,2020-04-22 19:12:28+00:00,2020-04-22 19:13:19.805880+00:00
Med. 2 de consumo em rede trifasica (Need),23.079997,0.04705,24.337011,0.047526,215.54,5.28,14.92218,0.001798,16.93944,0.003108,219.07,0.34,9.462607,0.017141,180.052274,0.023881,218.02,2.62,,True,False,False,True,2020-04-22 19:09:55+00:00,2020-04-22 19:10:46.915715+00:00
Med. 2 de consumo em rede trifasica (Need),23.032947,0.047404,24.289485,0.047867,215.33,5.31,14.920382,0.001804,16.936332,0.003146,219.13,0.34,9.445466,0.013291,180.028393,0.018417,217.89,1.98,,True,False,False,True,2020-04-22 19:07:25+00:00,2020-04-22 19:08:16.511145+00:00
Med. 2 de consumo em rede trifasica (Need),22.985543,0.047293,24.241618,0.047748,215.16,5.32,14.918578,0.001771,16.933186,0.003143,219.04,0.34,9.432175,0.016928,180.009976,0.025156,217.74,2.77,,True,False,False,True,2020-04-22 19:02:23+00:00,2020-04-22 19:03:14.705008+00:00
Med. 2 de consumo em rede trifasica (Need),22.93825,0.047967,24.19387,0.048437,215.19,5.32,14.916807,0.001813,16.930043,0.003132,218.9,0.34,9.415247,0.018154,179.98482,0.027191,217.15,2.95,,True,False,False,True,2020-04-22 18:59:53+00:00,2020-04-22 19:00:44.297390+00:00
Med. 2 de consumo em rede trifasica (Need),22.890283,0.047496,24.145433,0.047962,215.26,5.34,14.914994,0.00179,16.926911,0.003116,218.74,0.34,9.397093,0.013784,179.957629,0.021038,217.1,2.36,,True,False,False,True,2020-04-22 18:57:20+00:00,2020-04-22 18:58:11.718873+00:00
Med. 2 de consumo em rede trifasica (Need),22.842787,0.047484,24.097471,0.047956,215.34,5.33,14.913204,0.001779,16.923795,0.003086,218.73,0.34,9.383309,0.006831,179.936591,0.010381,217.29,1.14,,True,False,False,True,2020-04-22 18:54:49+00:00,2020-04-22 18:55:41.573886+00:00
Med. 2 de consumo em rede trifasica (Need),22.795303,0.047748,24.049515,0.048216,215.21,5.37,14.911425,0.001781,16.920709,0.003114,218.75,0.34,9.376478,0.00364,179.92621,0.006377,216.81,0.71,,True,False,False,True,2020-04-22 18:52:19+00:00,2020-04-22 18:53:10.533973+00:00
Med. 2 de consumo em rede trifasica (Need),22.747555,0.047012,24.001299,0.047481,215.27,5.29,14.909644,0.001793,16.917595,0.003118,218.67,0.34,9.372838,0.001926,179.919833,0.004265,216.64,0.47,,True,False,False,True,2020-04-22 18:49:48+00:00,2020-04-22 18:50:39.816017+00:00
Med. 2 de consumo em rede trifasica (Need),22.700543,0.048024,23.953818,0.048496,215.18,5.32,14.907851,0.001829,16.914477,0.003186,218.8,0.34,9.370912,0.001862,179.915568,0.004316,216.29,0.47,,True,False,False,True,2020-04-22 18:47:18+00:00,2020-04-22 18:48:09.382144+00:00
Med. 2 de consumo em rede trifasica (Need),22.652519,0.047206,23.905322,0.047668,214.82,5.32,14.906022,0.001793,16.911291,0.003095,219.12,0.34,9.36905,0.001893,179.911252,0.004124,217.58,0.45,,True,False,False,True,2020-04-22 18:44:45+00:00,2020-04-22 18:45:36.905966+00:00
Med. 2 de consumo em rede trifasica (Need),22.605313,0.04749,23.857654,0.047942,214.97,5.35,14.904229,0.001804,16.908196,0.00312,218.75,0.34,9.367157,0.001913,179.907128,0.004019,217.45,0.44,,True,False,False,True,2020-04-22 18:42:14+00:00,2020-04-22 18:43:06.070378+00:00
Med. 2 de consumo em rede trifasica (Need),22.557823,0.047114,23.809712,0.047573,214.39,5.32,14.902425,0.001802,16.905076,0.003119,218.74,0.34,9.365244,0.00193,179.903109,0.004037,217.49,0.45,,True,False,False,True,2020-04-22 18:39:44+00:00,2020-04-22 18:40:35.622180+00:00
Med. 2 de consumo em rede trifasica (Need),22.510709,0.048111,23.762139,0.048572,213.84,5.33,14.900623,0.001852,16.901957,0.003195,218.76,0.34,9.363314,0.00196,179.899072,0.004105,217.33,0.44,,True,False,False,True,2020-04-22 18:37:13+00:00,2020-04-22 18:38:05.314518+00:00
Med. 2 de consumo em rede trifasica (Need),22.462598,0.048225,23.713567,0.048689,214.0,5.38,14.898771,0.00183,16.898762,0.003137,218.18,0.34,9.361354,0.001953,179.894967,0.004081,217.22,0.44,,True,False,False,True,2020-04-22 18:34:39+00:00,2020-04-22 18:35:31.684248+00:00
Med. 2 de consumo em rede trifasica (Need),22.414373,0.047448,23.664878,0.047905,214.01,5.37,14.896941,0.001803,16.895625,0.003106,218.14,0.34,9.359401,0.001918,179.890886,0.004009,217.29,0.44,,True,False,False,True,2020-04-22 18:32:07+00:00,2020-04-22 18:32:58.507548+00:00
Med. 2 de consumo em rede trifasica (Need),22.366925,0.047317,23.616973,0.047771,214.07,5.35,14.895138,0.001806,16.892519,0.003116,218.66,0.34,9.357483,0.001921,179.886877,0.004013,217.05,0.44,,True,False,False,True,2020-04-22 18:29:36+00:00,2020-04-22 18:30:28.073875+00:00
Med. 2 de consumo em rede trifasica (Need),22.319608,0.04733,23.569202,0.047783,213.91,5.36,14.893332,0.001792,16.889403,0.00308,218.21,0.34,9.355562,0.001918,179.882864,0.004015,216.98,0.44,,True,False,False,True,2020-04-22 18:27:06+00:00,2020-04-22 18:27:57.627495+00:00
Med. 2 de consumo em rede trifasica (Need),22.272278,0.047508,23.521419,0.047958,213.93,5.38,14.89154,0.001792,16.886323,0.003088,217.77,0.34,9.353644,0.001916,179.878849,0.00403,216.94,0.45,,True,False,False,True,2020-04-22 18:24:35+00:00,2020-04-22 18:25:27.211159+00:00
Med. 2 de consumo em rede trifasica (Need),22.22477,0.047226,23.473461,0.047679,214.08,5.34,14.889748,0.001801,16.883235,0.003076,217.75,0.34,9.351728,0.001926,179.874819,0.004025,217.12,0.44,,True,False,False,True,2020-04-22 18:22:05+00:00,2020-04-22 18:22:56.787884+00:00
Med. 2 de consumo em rede trifasica (Need),22.177544,0.047976,23.425782,0.048438,214.21,5.34,14.887947,0.00185,16.880159,0.00314,217.63,0.34,9.349802,0.003734,179.870794,0.005818,216.99,0.63,,True,False,False,True,2020-04-22 18:19:36+00:00,2020-04-22 18:20:27.589737+00:00
Med. 2 de consumo em rede trifasica (Need),22.129568,0.047378,23.377344,0.047821,214.39,5.35,14.886097,0.001805,16.877019,0.003084,216.95,0.34,9.346068,0.005084,179.864976,0.007107,216.88,0.79,,True,False,False,True,2020-04-22 18:17:02+00:00,2020-04-22 18:17:53.661904+00:00
Med. 2 de consumo em rede trifasica (Need),22.08219,0.047679,23.329523,0.048126,214.76,5.37,14.884292,0.001812,16.873935,0.003102,217.03,0.34,9.340984,0.005093,179.857869,0.007112,216.08,0.79,,True,False,False,True,2020-04-22 18:14:31+00:00,2020-04-22 18:15:22.922488+00:00
Med. 2 de consumo em rede trifasica (Need),22.034511,0.04714,23.281397,0.047591,214.58,5.32,14.88248,0.001808,16.870833,0.003091,216.72,0.34,9.335891,0.005087,179.850757,0.007096,216.47,0.79,,True,False,False,True,2020-04-22 18:12:01+00:00,2020-04-22 18:12:52.522491+00:00
Med. 2 de consumo em rede trifasica (Need),21.987371,0.047475,23.233806,0.047924,214.18,5.36,14.880672,0.001812,16.867742,0.003078,217.05,0.34,9.330804,0.005088,179.843661,0.007117,216.58,0.79,,True,False,False,True,2020-04-22 18:09:30+00:00,2020-04-22 18:10:22.056967+00:00
Med. 2 de consumo em rede trifasica (Need),21.939896,0.048373,23.185882,0.048818,212.52,5.43,14.87886,0.001829,16.864664,0.003123,217.09,0.34,9.325716,0.0052,179.836544,0.007257,217.06,0.79,,True,False,False,True,2020-04-22 18:07:00+00:00,2020-04-22 18:07:51.629851+00:00
Med. 2 de consumo em rede trifasica (Need),21.891523,0.047652,23.137064,0.048093,212.5,5.42,14.877031,0.00182,16.861541,0.0031,217.09,0.34,9.320516,0.005117,179.829287,0.007147,217.23,0.79,,True,False,False,True,2020-04-22 18:04:27+00:00,2020-04-22 18:05:18.745291+00:00
Med. 2 de consumo em rede trifasica (Need),21.843871,0.047483,23.088971,0.047929,212.78,5.4,14.875211,0.001799,16.858441,0.003088,216.99,0.34,9.315399,0.005128,179.82214,0.007157,217.33,0.79,,True,False,False,True,2020-04-22 18:01:56+00:00,2020-04-22 18:02:48.132378+00:00
Med. 2 de consumo em rede trifasica (Need),21.796388,0.04767,23.041042,0.048114,213.47,5.4,14.873412,0.001802,16.855353,0.003102,216.97,0.34,9.310271,0.005133,179.814983,0.007155,216.83,0.79,,True,False,False,True,2020-04-22 17:59:26+00:00,2020-04-22 18:00:17.585893+00:00
Med. 2 de consumo em rede trifasica (Need),21.748718,0.047788,22.992928,0.048217,213.19,5.42,14.87161,0.001794,16.852251,0.003076,216.75,0.34,9.305138,0.00515,179.807828,0.007158,216.86,0.79,,True,False,False,True,2020-04-22 17:56:55+00:00,2020-04-22 17:57:47.150691+00:00
Med. 2 de consumo em rede trifasica (Need),21.70093,0.048335,22.944711,0.048784,213.14,5.41,14.869816,0.001823,16.849175,0.003131,216.65,0.34,9.299988,0.005254,179.80067,0.007307,217.07,0.79,,True,False,False,True,2020-04-22 17:54:25+00:00,2020-04-22 17:55:16.731698+00:00
Med. 2 de consumo em rede trifasica (Need),21.652595,0.047617,22.895927,0.048058,213.32,5.4,14.867993,0.001784,16.846044,0.003073,216.26,0.34,9.294734,0.005184,179.793363,0.007199,216.71,0.8,,True,False,False,True,2020-04-22 17:51:52+00:00,2020-04-22 17:52:43.831343+00:00
Med. 2 de consumo em rede trifasica (Need),21.604978,0.047769,22.847869,0.048207,213.27,5.42,14.866209,0.001787,16.842971,0.003067,215.97,0.34,9.28955,0.005185,179.786164,0.00719,216.51,0.8,,True,False,False,True,2020-04-22 17:49:21+00:00,2020-04-22 17:50:13.418549+00:00
Med. 2 de consumo em rede trifasica (Need),21.557209,0.048038,22.799662,0.048474,213.02,5.46,14.864422,0.00177,16.839904,0.003015,216.14,0.33,9.284365,0.005215,179.778974,0.007231,216.46,0.8,,True,False,False,True,2020-04-22 17:46:51+00:00,2020-04-22 17:47:42.997280+00:00
Med. 2 de consumo em rede trifasica (Need),21.509171,0.047699,22.751188,0.048137,213.26,5.41,14.862652,0.001783,16.836889,0.00304,216.34,0.34,9.27915,0.005208,179.771743,0.007221,216.22,0.8,,True,False,False,True,2020-04-22 17:44:20+00:00,2020-04-22 17:45:12.360915+00:00
Med. 2 de consumo em rede trifasica (Need),21.461472,0.048333,22.703051,0.048779,213.4,5.4,14.860869,0.001808,16.833849,0.003066,216.46,0.33,9.273942,0.005308,179.764522,0.007363,216.14,0.8,,True,False,False,True,2020-04-22 17:41:50+00:00,2020-04-22 17:42:41.805271+00:00
Med. 2 de consumo em rede trifasica (Need),21.413139,0.047812,22.654272,0.048249,213.24,5.42,14.859061,0.001784,16.830783,0.003034,216.39,0.34,9.268634,0.005281,179.757159,0.007301,216.17,0.81,,True,False,False,True,2020-04-22 17:39:17+00:00,2020-04-22 17:40:09.231937+00:00
Med. 2 de consumo em rede trifasica (Need),21.365327,0.047842,22.606023,0.048274,213.14,5.43,14.857277,0.001785,16.827749,0.003058,216.61,0.34,9.263353,0.005225,179.749858,0.007233,216.43,0.8,,True,False,False,True,2020-04-22 17:36:47+00:00,2020-04-22 17:37:38.805020+00:00
Med. 2 de consumo em rede trifasica (Need),21.317485,0.047704,22.557749,0.048137,213.34,5.41,14.855492,0.001791,16.824691,0.003088,216.46,0.34,9.258128,0.005246,179.742625,0.007232,216.44,0.8,,True,False,False,True,2020-04-22 17:34:16+00:00,2020-04-22 17:35:08.409560+00:00
Med. 2 de consumo em rede trifasica (Need),21.269781,0.047772,22.509612,0.048204,213.33,5.41,14.853701,0.001782,16.821603,0.003065,216.59,0.34,9.252882,0.005316,179.735393,0.007308,216.5,0.81,,True,False,False,True,2020-04-22 17:31:46+00:00,2020-04-22 17:32:37.647940+00:00
Med. 2 de consumo em rede trifasica (Need),21.222009,0.048639,22.461408,0.049069,213.21,5.44,14.851919,0.001823,16.818538,0.003172,216.37,0.35,9.247566,0.005441,179.728085,0.007435,216.25,0.81,,True,False,False,True,2020-04-22 17:29:15+00:00,2020-04-22 17:30:07.032958+00:00
Med. 2 de consumo em rede trifasica (Need),21.17337,0.049077,22.412339,0.049513,213.42,5.43,14.850096,0.001852,16.815366,0.003177,216.99,0.34,9.242125,0.005611,179.72065,0.007593,215.86,0.82,,True,False,False,True,2020-04-22 17:26:42+00:00,2020-04-22 17:27:34.418265+00:00
Med. 2 de consumo em rede trifasica (Need),21.124293,0.048957,22.362826,0.049394,213.39,5.46,14.848244,0.001826,16.812189,0.003139,216.38,0.34,9.236514,0.00568,179.713057,0.007639,216.19,0.83,,True,False,False,True,2020-04-22 17:24:08+00:00,2020-04-22 17:25:00.210673+00:00
Med. 2 de consumo em rede trifasica (Need),21.075336,0.048958,22.313432,0.049399,213.09,5.44,14.846418,0.001829,16.80905,0.003146,217.15,0.34,9.230834,0.001937,179.705418,0.00409,216.78,0.44,,True,False,False,True,2020-04-22 17:19:05+00:00,2020-04-22 17:19:56.889632+00:00
Med. 2 de consumo em rede trifasica (Need),21.026378,0.048456,22.264033,0.048882,212.72,5.42,14.844589,0.001838,16.805904,0.003155,217.23,0.34,9.228897,0.001903,179.701328,0.004007,217.07,0.48,,False,False,False,True,2020-04-22 17:16:31+00:00,2020-04-22 17:17:23.083373+00:00
Med. 2 de consumo em rede trifasica (Need),20.977922,0.049035,22.215151,0.049476,212.99,5.45,14.842751,0.001836,16.802749,0.003148,217.0,0.34,9.226994,0.001923,179.697321,0.004063,216.46,0.44,,True,False,False,True,2020-04-22 17:11:25+00:00,2020-04-22 17:12:16.689790+00:00
Med. 2 de consumo em rede trifasica (Need),20.928887,0.049235,22.165675,0.049669,212.89,5.47,14.840915,0.001848,16.799601,0.003139,217.0,0.34,9.225071,0.001926,179.693258,0.00405,216.66,0.44,,True,False,False,True,2020-04-22 17:08:51+00:00,2020-04-22 17:09:42.895932+00:00
Med. 2 de consumo em rede trifasica (Need),20.879652,0.048582,22.116006,0.048997,213.22,5.51,14.839067,0.001826,16.796462,0.003049,217.09,0.34,9.223145,0.001881,179.689208,0.003985,217.09,0.44,,True,False,False,True,2020-04-22 17:06:17+00:00,2020-04-22 17:07:08.898873+00:00
Med. 2 de consumo em rede trifasica (Need),20.83107,0.049054,22.067009,0.049481,213.34,5.49,14.837241,0.001853,16.793413,0.00311,216.99,0.34,9.221264,0.001884,179.685223,0.004039,216.64,0.44,,True,False,False,True,2020-04-22 17:03:48+00:00,2020-04-22 17:04:39.899050+00:00
Med. 2 de consumo em rede trifasica (Need),20.782016,0.047935,22.017528,0.048362,213.3,5.44,14.835388,0.001821,16.790303,0.003064,216.63,0.34,9.21938,0.001856,179.681184,0.003957,216.62,0.44,,True,False,False,True,2020-04-22 17:01:14+00:00,2020-04-22 17:02:06.076680+00:00
Med. 2 de consumo em rede trifasica (Need),20.734081,0.048513,21.969166,0.048922,212.67,5.52,14.833567,0.001816,16.787239,0.003046,216.28,0.34,9.217524,0.001852,179.677227,0.003959,216.18,0.44,,True,False,False,True,2020-04-22 16:58:43+00:00,2020-04-22 16:59:35.640449+00:00
Med. 2 de consumo em rede trifasica (Need),20.685568,0.048466,21.920244,0.048875,212.8,5.51,14.831751,0.001822,16.784193,0.003073,216.54,0.34,9.215672,0.001855,179.673268,0.003951,216.37,0.44,,True,False,False,True,2020-04-22 16:56:13+00:00,2020-04-22 16:57:05.220875+00:00
Med. 2 de consumo em rede trifasica (Need),20.637102,0.048372,21.871369,0.048795,212.89,5.5,14.829929,0.001814,16.78112,0.003078,216.55,0.34,9.213817,0.001856,179.669317,0.003943,216.38,0.44,,True,False,False,True,2020-04-22 16:53:43+00:00,2020-04-22 16:54:34.935776+00:00
Med. 2 de consumo em rede trifasica (Need),20.58873,0.049617,21.822574,0.050046,212.78,5.56,14.828115,0.001825,16.778042,0.003077,215.92,0.34,9.211961,0.001881,179.665374,0.00401,216.45,0.44,,True,False,False,True,2020-04-22 16:51:12+00:00,2020-04-22 16:52:04.362593+00:00
Med. 2 de consumo em rede trifasica (Need),20.539113,0.048723,21.772528,0.049142,212.46,5.55,14.82629,0.001808,16.774965,0.003056,216.15,0.34,9.21008,0.001848,179.661364,0.003954,216.24,0.44,,True,False,False,True,2020-04-22 16:48:39+00:00,2020-04-22 16:49:31.448742+00:00
Med. 2 de consumo em rede trifasica (Need),20.49039,0.048882,21.723386,0.049297,212.65,5.56,14.824482,0.001796,16.771909,0.003011,215.4,0.34,9.208232,0.001861,179.65741,0.003977,216.31,0.44,,True,False,False,True,2020-04-22 16:46:09+00:00,2020-04-22 16:47:01.059497+00:00
Med. 2 de consumo em rede trifasica (Need),20.441508,0.048747,21.674089,0.049171,213.14,5.53,14.822686,0.00179,16.768898,0.003001,216.09,0.33,9.206371,0.00186,179.653433,0.003951,216.62,0.44,,True,False,False,True,2020-04-22 16:43:38+00:00,2020-04-22 16:44:30.620720+00:00
Med. 2 de consumo em rede trifasica (Need),20.392761,0.048837,21.624918,0.049249,213.02,5.54,14.820896,0.001778,16.765897,0.002976,215.91,0.33,9.204511,0.001871,179.649482,0.003963,215.95,0.44,,True,False,False,True,2020-04-22 16:41:08+00:00,2020-04-22 16:42:00.177749+00:00
Med. 2 de consumo em rede trifasica (Need),20.343924,0.049708,21.575669,0.050131,212.9,5.56,14.819118,0.001782,16.762921,0.003077,216.37,0.34,9.20264,0.004097,179.645519,0.006722,215.94,0.73,,True,False,False,True,2020-04-22 16:38:37+00:00,2020-04-22 16:39:29.544602+00:00
Med. 2 de consumo em rede trifasica (Need),20.294216,0.048551,21.525538,0.048974,213.04,5.51,14.817336,0.001762,16.759844,0.003031,216.86,0.34,9.198543,0.006904,179.638797,0.009914,215.94,1.1,,True,False,False,True,2020-04-22 16:36:05+00:00,2020-04-22 16:36:56.867438+00:00
Med. 2 de consumo em rede trifasica (Need),20.245665,0.048508,21.476564,0.048926,212.99,5.51,14.815574,0.001777,16.756813,0.003099,216.92,0.34,9.191639,0.006771,179.628883,0.009791,215.42,1.09,,True,False,False,True,2020-04-22 16:33:34+00:00,2020-04-22 16:34:26.443266+00:00
Med. 2 de consumo em rede trifasica (Need),20.197157,0.048691,21.427638,0.049114,213.11,5.52,14.813797,0.001769,16.753714,0.003061,216.94,0.34,9.184868,0.006798,179.619092,0.009789,216.11,1.09,,True,False,False,True,2020-04-22 16:31:04+00:00,2020-04-22 16:31:56.003752+00:00
Med. 2 de consumo em rede trifasica (Need),20.148466,0.048887,21.378524,0.04931,213.26,5.54,14.812028,0.001764,16.750653,0.003046,217.07,0.34,9.17807,0.006829,179.609303,0.009871,216.8,1.09,,True,False,False,True,2020-04-22 16:28:33+00:00,2020-04-22 16:29:25.569631+00:00
Med. 2 de consumo em rede trifasica (Need),20.099579,0.049623,21.329214,0.050045,212.93,5.55,14.810264,0.001812,16.747607,0.00315,216.78,0.34,9.171241,0.006946,179.599432,0.010086,216.29,1.1,,True,False,False,True,2020-04-22 16:26:03+00:00,2020-04-22 16:26:54.852228+00:00
Med. 2 de consumo em rede trifasica (Need),20.049956,0.04894,21.279169,0.049354,212.69,5.57,14.808452,0.001784,16.744457,0.003095,217.14,0.34,9.164295,0.007115,179.589346,0.010138,216.51,1.12,,True,False,False,True,2020-04-22 16:23:30+00:00,2020-04-22 16:24:22.070664+00:00
Med. 2 de consumo em rede trifasica (Need),20.001016,0.049092,21.229815,0.049505,212.58,5.58,14.806668,0.001783,16.741362,0.003074,217.23,0.34,9.15718,0.007281,179.579208,0.010215,216.44,1.13,,True,False,False,True,2020-04-22 16:20:59+00:00,2020-04-22 16:21:51.609624+00:00
Med. 2 de consumo em rede trifasica (Need),19.951924,0.048688,21.18031,0.049114,213.01,5.53,14.804885,0.001778,16.738288,0.00309,217.28,0.34,9.149899,0.007217,179.568993,0.010144,216.73,1.12,,True,False,False,True,2020-04-22 16:18:29+00:00,2020-04-22 16:19:21.100409+00:00
Med. 2 de consumo em rede trifasica (Need),19.903236,0.049199,21.131196,0.049619,213.21,5.58,14.803107,0.001747,16.735198,0.003034,217.26,0.34,9.142682,0.007197,179.558849,0.010081,216.48,1.12,,True,False,False,True,2020-04-22 16:15:58+00:00,2020-04-22 16:16:50.653587+00:00
Med. 2 de consumo em rede trifasica (Need),19.854037,0.049919,21.081577,0.050338,212.81,5.58,14.80136,0.001788,16.732164,0.003091,217.15,0.34,9.135485,0.007359,179.548768,0.010321,216.65,1.13,,True,False,False,True,2020-04-22 16:13:28+00:00,2020-04-22 16:14:20.223390+00:00
Med. 2 de consumo em rede trifasica (Need),19.804118,0.050528,21.031239,0.05095,212.85,5.61,14.799572,0.001804,16.729073,0.003111,217.1,0.34,9.128126,0.007499,179.538447,0.010423,216.51,1.13,,True,False,False,True,2020-04-22 16:10:55+00:00,2020-04-22 16:11:47.345986+00:00
Med. 2 de consumo em rede trifasica (Need),19.75359,0.050165,20.980289,0.050584,213.04,5.57,14.797768,0.001804,16.725962,0.003118,217.03,0.34,9.120627,0.007552,179.528024,0.010481,216.36,1.14,,True,False,False,True,2020-04-22 16:08:21+00:00,2020-04-22 16:09:13.320668+00:00
Med. 2 de consumo em rede trifasica (Need),19.703425,0.050416,20.929705,0.050826,213.35,5.59,14.795964,0.001806,16.722844,0.003094,217.03,0.33,9.113075,0.007598,179.517543,0.010511,216.65,1.14,,True,False,False,True,2020-04-22 16:05:47+00:00,2020-04-22 16:06:39.729629+00:00
Med. 2 de consumo em rede trifasica (Need),19.653009,0.049775,20.878879,0.050205,213.38,5.52,14.794158,0.001821,16.71975,0.003126,217.63,0.34,9.105477,0.007562,179.507032,0.010458,217.02,1.13,,True,False,False,True,2020-04-22 16:03:14+00:00,2020-04-22 16:04:05.919340+00:00
Med. 2 de consumo em rede trifasica (Need),19.603234,0.049223,20.828674,0.049637,213.46,5.58,14.792337,0.001781,16.716624,0.003067,217.29,0.34,9.097915,0.007444,179.496574,0.010347,216.69,1.15,,True,False,False,True,2020-04-22 16:00:40+00:00,2020-04-22 16:01:32.102715+00:00
Med. 2 de consumo em rede trifasica (Need),19.554011,0.049628,20.779037,0.050054,213.4,5.54,14.790556,0.001803,16.713557,0.003114,217.68,0.34,9.090471,0.007616,179.486227,0.010554,216.6,1.15,,True,False,False,True,2020-04-22 15:58:09+00:00,2020-04-22 15:59:01.680671+00:00
Med. 2 de consumo em rede trifasica (Need),19.504383,0.048912,20.728983,0.049328,213.29,5.55,14.788753,0.001785,16.710443,0.003089,217.6,0.34,9.082855,0.007644,179.475673,0.01052,216.76,1.16,,True,False,False,True,2020-04-22 15:55:37+00:00,2020-04-22 15:56:29.120708+00:00
